customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3518-HSQPL,Female,0,No,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),34.94,188.82,No
2779-CINEB,Female,0,No,No,37,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),84.27,3148.7,Yes
5059-LYSZS,Female,0,No,No,5,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,90.28,409.79,Yes
2849-GTXEL,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),93.96,56.38,Yes
3977-AQMLH,Male,0,No,No,50,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,104.59,5043.0,Yes
2472-KCVUD,Female,0,Yes,Yes,28,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),71.5,1843.62,No
1051-VRYKB,Female,1,Yes,No,1,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),71.4,269.16,No
3153-JMHCJ,Female,0,No,No,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,312.31,No
2514-CGGEJ,Female,0,Yes,No,29,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),73.51,2161.83,No
3040-TXQHL,Female,0,No,No,45,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),70.09,2957.68,No
2422-ILSGM,Male,0,No,Yes,15,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),56.62,896.22,Yes
4773-CCCTM,Male,0,No,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),26.42,1464.99,No
1056-EFFKA,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,99.8,7096.78,Yes
2143-TWHGR,Female,0,No,No,48,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,56.68,2602.41,No
